Node Count,Requested Duration,Actual Duration
4,900,13
4,900,7
2,7200,4657
4,900,13
2,7200,6995
4,900,13
4,900,7
4,900,12
4,900,6
4,900,14
5,7200,7221
4,900,7
4,900,12
256,5400,5413
8,3600,3607
4,900,6
4,900,12
4,900,14
4,900,6
20,7200,7220
4,900,4
143,1800,904
5,900,914
4,900,13
540,5400,755
12,5760,4
4,900,4
4,900,11
12,5760,63
184,21600,2238
184,21600,2012
4,900,13
32,7200,4706
100,5400,1290
15,3600,916
4,900,10
32,7200,4870
32,7200,4859
32,7200,4815
12,5760,9
32,7200,4768
32,7200,4769
32,7200,4802
2,7200,2489
4,900,12
4,900,247
1920,7200,25
120,7200,276
12,5760,15
4,900,8
4,900,621
12,5760,65
15,3600,230
12,5760,10
4,900,5
4,900,12
4,900,6
15,3600,233
2,7200,32
4,900,12
4,900,6
2,7200,84
11,900,11
12,5760,9
2,7200,81
2,7200,263
11,900,8
4,900,10
4,7200,7215
2,7200,7215
4,900,13
4,900,12
4,900,14
